var name, type , #
MenuMorph>>addToggle:target:selector:getStateSelector:enablementSelector:argumentList:>>arg>>anObject,UndefinedObject,3
TextMorph>>drawOn:>>arg>>aCanvas,FormCanvas,765
StringMorphAttributeScanner>>setActualFont:>>arg>>aFont,LogicalFont,1368
MenuMorph>>popUpOwner:>>arg>>aMenuItemMorph,MenuItemMorph,5
TextMorph>>resetBlinkCursor>>temp>>para,Paragraph,6
Paragraph>>showCaret,True,21,False,23
TableLayout>>minExtentVertical:>>temp>>maxX,SmallInteger,2255
LayoutFrame>>bottomFraction:offset:>>arg>>aNumber,Fraction,2,SmallInteger,7
TextMorph>>setDefaultContentsIfNil>>temp>>toUse,UndefinedObject,3042,Text,3042
TextMorph>>areasRemainingToFill:>>arg>>aRectangle,Rectangle,18
MenuItemMorph>>invokeWithEvent:>>temp>>w,WorldMorph,1
TableLayout>>minExtentCache,Point,9836,UndefinedObject,600741
Paragraph>>focused,True,5,False,20456
StepMessage>>stepTime:>>arg>>aNumber,SmallInteger,2,UndefinedObject,20
MorphicEventHandler>>handlesMouseOver:>>arg>>evt,MouseButtonEvent,1,MouseMoveEvent,11
MenuMorph>>handleFocusEvent:>>arg>>evt,MouseButtonEvent,1,MouseEvent,8
TextMorphForEditView>>keyboardFocusChange:>>arg>>gotFocus,True,3,False,3
Paragraph>>fastFindFirstLineSuchThat:>>temp>>high,SmallInteger,8777
TableLayout>>layoutTopToBottom:in:>>1>>temp>>sizeY,SmallInteger,1177,BoxedFloat64,3213
TextMorph>>minimumExtent>>temp>>minExt,Point,30
Paragraph>>findReplaceSelectionRegex,UndefinedObject,37
TableLayout>>layoutTopToBottom:in:>>temp>>cell,UndefinedObject,3033,LayoutCell,8780
MorphicAlarm>>numArgs,SmallInteger,7
ProportionalLayout>>layout:in:>>arg>>newBounds,Rectangle,698
TableLayout>>computeCellArrangement:in:horizontal:target:>>temp>>index,SmallInteger,264
TableLayoutProperties>>layoutInset,Margin,85,SmallInteger,76076,Point,38068
JobProgressMorph>>label:>>arg>>aString,ByteString,36
TextMorph>>text,Text,7690
Paragraph>>composeLinesFrom:to:delta:into:priorLines:atY:>>arg>>lineColl,OrderedCollection,8
TextMorph>>textStyle,TextStyle,11014
AlphaImageMorph>>cachedForm>>temp>>i,ColorForm,1,Form,22
MorphicEventHandler>>mouseMove:fromMorph:>>arg>>sourceMorph,GLMSystemWindow,1
TextComposer>>composeLinesFrom:to:delta:into:priorLines:atY:textStyle:text:container:wantsColumnBreaks:>>arg>>argStart,SmallInteger,8
TableLayoutProperties>>rubberBandCells,True,1735,False,73629
MenuItemMorph>>isEnabled,True,177
MorphicEventHandler>>mouseLeave:fromMorph:>>arg>>sourceMorph,ScrollBar,4,PluggableButtonMorph,6,GLMSystemWindow,4,BorderedMorph,4
Paragraph>>actionAttributesUnder:event:do:>>arg>>anEvent,MouseButtonEvent,1
LayoutProperties>>hResizing,ByteSymbol,236174
MenuMorph>>addToggle:target:selector:getStateSelector:enablementSelector:argumentList:>>arg>>stateSymbol,UndefinedObject,3
TextLine>>lastIndex,SmallInteger,61521
TextComposer>>addNullLineWithIndex:andRectangle:>>arg>>r,Rectangle,3351
SimpleBorder>>color:>>arg>>aColor,UndefinedObject,3,Color,96417
LayoutFrame>>layout:in:>>arg>>oldBounds,Rectangle,3011
TextComposer>>composeLinesFrom:to:delta:into:priorLines:atY:textStyle:text:container:wantsColumnBreaks:>>arg>>argTextStyle,TextStyle,8
TableLayout>>layoutTopToBottom:in:>>arg>>newBounds,Rectangle,3033
Paragraph>>moveBy:>>arg>>delta,Point,1746
TextLine>>internalSpaces:paddingWidth:>>arg>>spacesInteger,SmallInteger,32436
Paragraph>>composeLinesFrom:to:delta:into:priorLines:atY:>>temp>>newResult,Array,8
TextMorphForEditView>>handleInteraction:>>arg>>interActionBlock,BlockClosure,11
LayoutCell>>addExtraSpace:>>arg>>aPoint,Point,224
TextComposer>>composeAllRectangles:>>temp>>charIndexBeforeLine,SmallInteger,29085
MenuMorph>>addToggle:target:selector:getStateSelector:enablementSelector:>>arg>>aSymbol,ByteSymbol,1
TransformMorph>>invalidRect:from:>>arg>>aMorph,TransformWithLayoutMorph,348,LazyMorphListMorph,256,LazyListMorph,153,MorphTreeTransformMorph,813,AlignmentMorph,688,RubEditingArea,232,IndentingListItemMorph,52,TextMorphForEditView,128,MulticolumnLazyListMorph,17,TextMorphForFieldView,63714,MorphTreeNodeMorph,51324,LazyMorphTreeNodeMorph,7336,TransformMorph,89889
MorphicEventHandler>>addSubscription:toEvent:>>arg>>eventName,ByteSymbol,377407
Paragraph>>displaySelectionInLine:on:>>temp>>leftX,BoxedFloat64,17,SmallInteger,70
ImageMorph>>areasRemainingToFill:>>arg>>aRectangle,Rectangle,16
MenuItemMorph>>contents:withMarkers:inverse:>>arg>>aBool,True,172
TextComposer>>nowSliding,False,20479
TableLayout>>layoutTopToBottom:in:>>temp>>width,SmallInteger,4481,BoxedFloat64,2635
Paragraph>>compose:style:from:in:>>arg>>t,Text,20471
Paragraph>>actionAttributesUnder:event:do:>>arg>>aClickPoint,Point,1
TableLayout>>placeCells:in:horizontal:target:>>temp>>anchor,Point,57
StringMorph>>fontToUse>>temp>>fontToUse,LogicalFont,128656
MenuItemMorph>>arguments,Array,171,UndefinedObject,177
JobProgressMorph>>lock,Semaphore,1
Paragraph>>displaySelectionBarOn:>>temp>>visibleRectangle,Rectangle,1
StringMorph>>font,UndefinedObject,61430,LogicalFont,10103
Paragraph>>selectionRectsFrom:to:>>temp>>cb2,CharacterBlock,6188
TextMorph>>handleMouseMove:>>arg>>anEvent,MouseMoveEvent,3
StringMorphAttributeScanner>>fontNumber,SmallInteger,4384
Paragraph>>container,Rectangle,23794
Paragraph>>click:for:controller:>>arg>>model,TextEntryDialogWindow,1
TableLayout>>placeCells:in:horizontal:target:>>arg>>arrangement,Array,19
MenuItemMorph>>contents:withMarkers:inverse:>>arg>>inverse,False,172
AlphaImageMorph>>autoSize,True,277
TableLayout>>layoutTopToBottom:in:>>temp>>block,BlockClosure,3033
TableLayout>>layoutLeftToRight:in:>>temp>>inset,SmallInteger,37336
ProgressBarMorph>>completedWidth>>temp>>progress,Fraction,45,SmallInteger,8
SimpleBorder>>baseColor:>>temp>>cc,UndefinedObject,41223,Color,6385
Paragraph>>buildSelectionBlocksFrom:to:>>temp>>topLeftBlk,CharacterBlock,1
TextLine>>stop:>>arg>>stopInteger,SmallInteger,29085
TransformMorph>>fullBounds,Rectangle,19352
ImageMorph>>basicExtent:>>arg>>aPoint,Point,18
MorphEventSubscription>>event,ByteSymbol,377407
Paragraph>>firstCharacterIndex,SmallInteger,20471
TextMorph>>paragraph,Paragraph,16127,UndefinedObject,15871
TextMorph>>mouseUp:>>arg>>evt,MouseButtonEvent,1
TableLayout>>computeCellSizes:in:horizontal:>>2>>temp>>cell,LayoutCell,244
Paragraph>>characterBlockForIndex:>>temp>>line,TextLine,6226
TextMorph>>privateOwner:>>arg>>newOwner,GroupboxMorph,12,PanelMorph,10,UndefinedObject,1,AlignmentMorph,8,TransformMorph,3030,DropListMorph,5,WorldMorph,2,Morph,317
