var name, type , #
GLMTransmission>>changePortsAccordingToPaneMapping:fromOldBrowser:toNewBrowser:>>arg>>newPanesMapping,Dictionary,12
GLMTransmission>>activeOrigins>>1>>arg>>each,GLMOriginPortReference,991
GLMTransmission>>from:>>arg>>aPort,GLMPortIdentifier,153,ByteSymbol,65
GLMAction>>morphicActOn:>>arg>>aPresentation,GLMFastTablePresentation,2
GLMBrowser>>postCopy>>temp>>newPanes,OrderedCollection,4
GLMPresentation>>rawSelectionTransmissions,IdentitySet,812
GLMPresentation>>windowIsClosing>>temp>>event,GLMBrowserClosing,1
GLMPane>>addPresentationSilently:>>arg>>each,GLMFinder,1,GLMValidator,1,GLMTabulator,8
GLMPresentation>>selectionDynamicActionsBlock,BlockClosure,19
GLMPresentation>>titleIcon,BlockClosure,4
GLMPresentation>>transformation,BlockClosure,69
GLMBrowser>>pane,UndefinedObject,4
GLMCompositePresentation>>arrangement,UndefinedObject,44,GLMTabbedArrangement,47
GLMPane>>lastActivePresentation,UndefinedObject,5,GLMFastTablePresentation,3
GLMPresentation>>title,BlockClosure,8,ByteString,45
GLMTransmission>>value>>temp>>originalValue,DynamicTypesRecorderWithMessageNodes class,5,UndefinedObject,7,Association,6,DebugSession,6,GLMMultiValue,5,Context,38
GLMPresentation>>copy>>temp>>copy,GLMTabulator,4,GLMPharoMethodPresentation,5,GLMDynamicPresentation,11,GLMFastTablePresentation,3,GLMListPresentation,10,GLMCompositePresentation,47,GLMPharoScriptPresentation,1,GLMTablePresentation,13,GTDebuggerVariablesBrowser,4
GLMCompositePresentation>>withAllPanesAndPresentationsDo:>>1>>arg>>each,GLMCompositePresentation,1,GLMDynamicPresentation,1,GLMListPresentation,7,GLMTabulator,2,GLMRubricTextPresentation,1,GTObjectVariablesBrowser,1,GLMPharoScriptPresentation,2,GLMTablePresentation,2,GTSimpleMethodsBrowser,1,GLMPager,1
GLMAction>>condition,BlockClosure,33
GLMPresentation>>addRawSelectionTransmissionTo:>>arg>>aPortSymbol,ByteSymbol,812
GLMCompositePresentation>>allSatisfy:>>arg>>aBlock,BlockClosure,367
GLMPresentation>>cachedDisplayedValue,GTDebuggerInspector,4,GLMCompositePresentation,4,ByteString,4,OrderedCollection,8,Context,4
GLMPresentation>>labelActionBlock,BlockClosure,2
GLMCompositePresentation>>add:>>arg>>aPresentation,GLMFinder,1,GLMCompositePresentation,4,GLMDynamicPresentation,12,GLMListPresentation,18,GLMTabulator,27,GLMFastTablePresentation,3,GLMPharoMethodPresentation,8,GLMRubricTextPresentation,2,GTObjectVariablesBrowser,1,GLMPharoScriptPresentation,6,GTDebuggerVariablesBrowser,4,GTDebuggerInspector,8,GLMTablePresentation,13,GTSimpleMethodsBrowser,4,GLMPager,6,GLMValidator,1
GLMPresentation>>validate:on:>>arg>>aPort,GLMPanePort,392
GLMCompositePresentation>>initializePresentation>>1>>arg>>each,GLMCompositePresentation,4,GLMDynamicPresentation,11,GLMListPresentation,18,GLMTabulator,9,GLMPharoMethodPresentation,8,GLMFastTablePresentation,3,GLMRubricTextPresentation,1,GTObjectVariablesBrowser,1,GLMPharoScriptPresentation,5,GTDebuggerVariablesBrowser,4,GTDebuggerInspector,4,GLMTablePresentation,13,GTSimpleMethodsBrowser,4,GLMPager,4
GLMTransmission>>changePortsAccordingToPaneMapping:fromOldBrowser:toNewBrowser:>>1>>arg>>each,GLMOriginPortReference,24
GLMTransmission>>origins,OrderedCollection,1154
GLMUpdateAction>>condition,True,2
GLMPresentation>>dynamicActionsBlock,BlockClosure,12
GLMExplicitBrowser>>innerPortEvent:>>arg>>aPortEvent,GLMPortEvent,206
GLMTransmissionContext>>addPort:>>arg>>aPort,GLMPanePort,475
GLMBrowser>>resolvePort:defaultPortName:>>arg>>aPortReference,GLMPortIdentifier,427
GLMPresentationBoundPort>>presentation,GLMListPresentation,56,GLMFinder,22,GLMWrapper,14,GLMWizard,2,GTSimpleMethodsBrowser,8,GLMExpander,2,GTObjectVariablesBrowser,14,GLMRubricTextPresentation,4,GTInspector,4,GLMDashboard,24,GLMPager,14,GLMStacker,4,GLMCompositePresentation,1334,GLMDynamicPresentation,46,GLMTabulator,287,GLMTablePresentation,52,GLMPharoScriptPresentation,14,GTGenericStackDebugger,4,GTDebuggerVariablesBrowser,16,GLMPharoMethodPresentation,26,GTDebuggerInspector,8,GLMAccumulator,2,GLMFastTablePresentation,12,GLMValidator,6
GLMPort>>value:>>arg>>anObject,GLMFastTablePresentation,3,UndefinedObject,17,Context,18,DebugSession,3,Association,1,DynamicTypesRecorderWithMessageNodes class,4,Interval,125,OrderedCollection,1,Text,130,Array,4
GLMFormatedPresentation>>format:>>arg>>anObject,BlockClosure,15,ByteSymbol,7
GLMPane>>clearIn:>>arg>>aContext,GLMTransmissionContext,44
GLMTransmission>>transmitIn:>>arg>>aContext,GLMTransmissionContext,68
GLMCompositePresentation>>do:>>arg>>aBlock,BlockClosure,945
GLMTransmission>>changePortsAccordingToPaneMapping:fromOldBrowser:toNewBrowser:>>temp>>newPort,GLMPresentationBoundPort,4,GLMPanePort,8
GLMPresentation>>morphicSelectionAct:icon:on:entitled:>>arg>>aBlock,BlockClosure,34
GLMPanePort>>copyAccordingToPaneMapping:inNewBrowser:>>arg>>newPanesMapping,Dictionary,16
GLMPresentation>>validate:on:>>arg>>anObject,GLMFastTablePresentation,3,UndefinedObject,26,Context,59,DebugSession,7,Association,6,DynamicTypesRecorderWithMessageNodes class,18,Interval,126,GTGenericStackDebugger,5,GLMMultiValue,5,OrderedCollection,1,Text,132,Array,4
GLMImplicitBrowser>>show:>>arg>>aBlock,BlockClosure,30
GLMPane>>withAllPanesAndPresentationsDo:>>arg>>aBlock,BlockClosure,6
GLMTransmission>>addActiveOrigin:>>arg>>aPort,GLMPresentationBoundPort,932,GLMPanePort,109
GLMPortChangeAction>>portName:>>arg>>anObject,ByteSymbol,13
GLMCompositePresentation>>unregisterFromAllAnnouncements>>1>>arg>>each,GLMDynamicPresentation,16,GLMListPresentation,17,GLMTabulator,18,GLMFastTablePresentation,5,GLMPharoMethodPresentation,7,GLMRubricTextPresentation,1,GTObjectVariablesBrowser,1,GLMPharoScriptPresentation,2,GTDebuggerVariablesBrowser,4,GLMTablePresentation,14,GTSimpleMethodsBrowser,1,GLMPager,7
GLMPresentation>>morphicSelectionAct:icon:on:entitled:>>arg>>aCharacter,Character,34
GLMPresentation>>rawSelectionTransmissionFor:ifNone:>>1>>arg>>transmission,GLMTransmission,3
GLMPresentation>>printOn:>>arg>>aStream,LimitedWriteStream,17
GLMCompositePresentation>>openOn:>>arg>>anObject,DynamicTypesRecorderWithMessageNodes class,2
GLMPanePort>>silentValue:>>arg>>anObject,GLMFastTablePresentation,3,UndefinedObject,126,Context,56,DebugSession,6,Association,6,DynamicTypesRecorderWithMessageNodes class,9,Interval,125,GTGenericStackDebugger,5,GLMMultiValue,5,OrderedCollection,1,Text,130,Array,4
GLMCompositePresentation>>pane,GLMPane,87
GLMBoundPort>>validate:>>2>>arg>>each,GLMDynamicPresentation,88,GLMListPresentation,15,GLMTabulator,13,GLMFastTablePresentation,25,GLMPharoMethodPresentation,21,GLMRubricTextPresentation,1,GTObjectVariablesBrowser,1,GLMPharoScriptPresentation,85,GTInspector,82,GTDebuggerVariablesBrowser,9,GLMTablePresentation,17,GTSimpleMethodsBrowser,1,GLMPager,18
GLMPortChangeAction>>portName,ByteSymbol,13
GLMUpdateAction>>presentation:>>arg>>anObject,GLMTabulator,2
GLMPane>>ports,OrderedCollection,560
GLMPresentation>>actions,OrderedCollection,96
GLMAction>>keymap,KMModifiedKeyCombination,221,UndefinedObject,63
GLMPresentStrategy>>presentationsFactory:>>arg>>anObject,BlockClosure,195
GLMBrowser>>postCopy>>temp>>newTransmission,GLMTransmission,12
GLMPane>>port:>>1>>arg>>each,GLMPanePort,5760
GLMReplacePresentationsStrategy>>transmitIn:>>arg>>aContext,GLMTransmissionContext,44
GLMTransmission>>condition,True,1055,BlockClosure,11
GLMTransmission>>to:>>arg>>aPort,GLMPortIdentifier,22,ByteSymbol,159,Association,28
GLMCompositePresentation>>custom:>>arg>>aPresentation,GLMCompositePresentation,4,GLMDynamicPresentation,12,GLMListPresentation,18,GLMTabulator,19,GLMFastTablePresentation,3,GLMPharoMethodPresentation,8,GLMRubricTextPresentation,2,GTObjectVariablesBrowser,1,GLMPharoScriptPresentation,6,GTDebuggerVariablesBrowser,4,GTDebuggerInspector,8,GLMTablePresentation,13,GTSimpleMethodsBrowser,4,GLMPager,6
GLMTransmissionStrategy>>transmission,GLMTransmission,314
GLMPresentation>>transformation:>>arg>>aBlock,BlockClosure,55
GLMTransmission>>condition:>>arg>>anObject,BlockClosure,11
GLMExplicitBrowser>>innerPortEvent:>>temp>>wantedTransmissions,OrderedCollection,132
GLMPortEvent>>initializeOn:previouslyValued:in:>>arg>>aPort,GLMPanePort,475
GLMPresentation>>condition,BlockClosure,83
GLMPresentation>>updateActions,OrderedCollection,812
GLMPresentation>>act:on:entitled:>>arg>>aBlock,BlockClosure,2
GLMPresentation>>onChangeOfPort:act:>>arg>>aPortName,ByteSymbol,13
GLMPresentation>>shouldValidate:>>arg>>aBoolean,False,12
GLMAction>>shouldShowTitle,True,154,False,20
GLMTransmission>>to:port:>>arg>>aPaneSymbol,ByteSymbol,22
GLMPane>>browser,GLMTabulator,276,GLMWrapper,7,GLMStacker,4,GLMDashboard,32,GLMNoBrowser,113,GLMPager,11
GLMPresentation>>act:icon:entitled:>>arg>>aBlock,BlockClosure,9
GLMUpdateAction>>presentation,GLMTabulator,2
GLMPresentation>>updateOn:from:>>arg>>aBlockOrSymbol,ByteSymbol,2
GLMTransmission>>postCopy>>1>>arg>>each,GLMOriginPortReference,110
GLMAction>>separatorAfter,True,28
GLMExplicitBrowser>>paneNamed:>>arg>>aSymbol,ByteSymbol,934
GLMPresentation>>outerPortEvent:>>arg>>aPortEvent,GLMPortEvent,1360
GLMPresentation>>parentPrototype,GLMTabulator,4,GLMPharoMethodPresentation,5,GLMDynamicPresentation,11,GLMFastTablePresentation,3,GLMListPresentation,10,GLMCompositePresentation,47,GLMPharoScriptPresentation,1,GLMTablePresentation,13,GTDebuggerVariablesBrowser,4
GLMAction>>actOn:>>arg>>aPresentation,GLMPharoScriptPresentation,9,GLMFastTablePresentation,2,GLMTablePresentation,1
GLMBoundPort>>notingPresentationChangeDo:>>arg>>aBlock,BlockClosure,68
GLMFormatedPresentation>>iconFor:>>arg>>anObject,Association,41
GLMPresentation>>allSelectionActions>>1>>arg>>each,GLMMorphicAction,10,GLMGenericAction,157
GLMPanePort>>changeValueTo:in:>>arg>>anObject,GLMFastTablePresentation,3,UndefinedObject,125,Context,56,DebugSession,6,Association,6,DynamicTypesRecorderWithMessageNodes class,9,Interval,125,GTGenericStackDebugger,5,GLMMultiValue,5,OrderedCollection,1,Text,130,Array,4
GLMTransmission>>origins>>1>>arg>>each,GLMOriginPortReference,118
