var name, type , #
HandMorph>>updateCacheCanvas:>>1>>arg>>m,QuestionDialogWindow,2,PluggableDialogWindow,25,TextEntryDialogWindow,7
WorldState>>doOneCycleFor:>>arg>>aWorld,WorldMorph,67938
MouseWheelEvent>>buttons,SmallInteger,4
HandMorph>>generateKeyboardEvent:>>temp>>stamp,SmallInteger,95
MorphExtension>>fillStyle,SolidFillStyle,68561,GradientFillStyle,290,UndefinedObject,138942,InfiniteForm,3,InterpolatedGradientFillStyle,4,ImageFillStyle,4470,Color,26111
Morph>>listDirection:>>arg>>aSymbol,ByteSymbol,46756
Morph>>intoWorld:>>arg>>aWorld,WorldMorph,83939
Morph>>withAllOwnersDo:>>arg>>aBlock,BlockClosure,35095
Morph>>setBalloonText:maxLineLength:>>arg>>stringOrText,ByteString,864,UndefinedObject,41832
Morph>>hasProperty:>>arg>>aSymbol,ByteSymbol,11335
Morph>>openModal:>>arg>>aSystemWindow,PluggableDialogWindow,1,QuestionDialogWindow,1,TextEntryDialogWindow,1
HandMorph>>lastKeyScanCode,SmallInteger,36
MouseEvent>>type,ByteSymbol,70174
Morph>>snapToEdgeIfAppropriate>>temp>>oldBounds,Rectangle,83
MouseMoveEvent>>buttons,SmallInteger,943
Morph>>privateAddAllMorphs:atIndex:>>arg>>aCollection,OrderedCollection,25972
Morph>>privateInvalidateMorph:>>arg>>aMorph,StandardWindow,4,StringMorph,1,QuestionWithoutCancelDialogWindow,2,ChooseDropListDialogWindow,2,BorderedMorph,52,DenyDialogWindow,2,TextEntryDialogWindow,13,GrowlMorph,3,ImageMorph,250,GeneralScrollBar,4,Morph,517,MessageDialogWindow,2,SimpleBalloonMorph,2,IdentifierChooserMorph,10,BracketMorph,4,SystemProgressMorph,3,AlphaImageMorph,24,QuestionDialogWindow,9,PluggableDialogWindow,22,AlignmentMorph,180,AlertDialogWindow,2,TabMorph,22,JobProgressMorph,2,SystemWindow,13,MultistateButtonMorph,9,PluggableButtonMorph,178,JobProgressBarMorph,1,PluggableListMorph,1,FreeTypeFontSelectorDialogWindow,2,ErrorDialogWindow,2,ProceedDialogWindow,2,ColorSelectorDialogWindow,2,FileDialogWindow,4,ScrollBar,3,LockableTabMorph,5
Morph>>rubberBandCells:>>arg>>aBool,True,1606,False,529
HandMorph>>fullDrawOn:>>arg>>aCanvas,FormCanvas,38
DropEvent>>sentTo:>>arg>>anObject,StandardWindow,1,MorphTreeMorph,1,WorldMorph,4,MorphicEventDispatcher,68
WorldState>>runLocalStepMethodsIn:>>temp>>stepTime,SmallInteger,992
WorldState>>doOneCycleNowFor:>>arg>>aWorld,WorldMorph,67938
MouseOverHandler>>mouseOverMorphs,Array,167
Morph>>on:send:to:>>arg>>recipient,ExpanderTitleMorph,2,LockableTabMorph,3,GeneralScrollBar,880,TreeListMorph,3,TabSelectorMorph,2,GrowlMorph,2,CheckboxMorph,5060,DropListMorph,15,TabMorph,9,EditableDropListMorph,3,ScrollBar,369260,AColorSelectorMorph,57,HColorSelectorMorph,48,BlockClosure,62,PluggableSliderMorph,36,MorphDropListMorph,6,JobProgressMorph,1
WorldState>>displayWorld:submorphs:>>1>>arg>>m,StandardWindow,69650,ChooseDropListDialogWindow,827,DenyDialogWindow,827,TextEntryDialogWindow,1639,GrowlMorph,91,TaskbarMorph,67972,ImageMorph,67972,GLMSystemWindow,67972,SimpleBalloonMorph,64,MessageDialogWindow,827,IdentifierChooserMorph,148,SystemProgressMorph,67970,NautilusWindow,67972,QuestionDialogWindow,1080,PluggableDialogWindow,69574,AlertDialogWindow,827,SystemWindow,74726,ErrorDialogWindow,827,FreeTypeFontSelectorDialogWindow,827,QuestionWithoutCancelDialogWindow,827,ProceedDialogWindow,827,FileDialogWindow,1654,ColorSelectorDialogWindow,827
Morph>>invalidRect:from:>>temp>>damageRect,Rectangle,3026428
PasteUpMorph>>windowEvent:>>arg>>anEvent,WindowEvent,1
