var name, type , #
FAMIXNamedEntity>>privateQuery:with:>>temp>>aTmpColl,Set,318625
FAMIXNamedEntity>>isStub,True,13434,False,73593
MooseEntity>>gtInspectorPresentationsIn:inContext:>>2>>arg>>eachPragma,Pragma,21
FAMIXBehaviouralEntity>>numberOfStatements:>>arg>>aNumber,SmallInteger,19253
FAMIXLocalVariable>>printOn:>>arg>>stream,LimitedWriteStream,69
MooseEntity>>description:>>arg>>characters,ByteString,125
MooseEntity>>mooseDisplayStringOn:>>arg>>stream,WriteStream,1293880
FAMIXNamedEntity>>queryLocal:with:>>2>>arg>>p,FM3PropertyDescription,78868
FAMIXAttribute>>mooseNameOn:>>temp>>parent,FAMIXClass,11566,FAMIXAnnotationType,1,FAMIXEnum,12,FAMIXParameterizableClass,34
MooseEntity>>gtInspectorPresentationsIn:inContext:>>arg>>composite,GLMCompositePresentation,1
FAMIXAnnotationInstance>>privateQuery:with:>>temp>>aTmpColl2,MooseIncomingQueryResult,18781
MooseEntity>>propertyNamed:ifNil:>>1>>temp>>property,UndefinedObject,108
FAMIXAnnotationInstanceAttribute>>queryLocal:with:>>arg>>anInOutSymbol,ByteSymbol,922
FAMIXType>>printOn:>>arg>>aStream,WriteStream,191884,LimitedWriteStream,168
FAMIXSourceAnchor>>element:>>arg>>anElement,FAMIXEnum,9,FAMIXLocalVariable,12201,FAMIXParameterizableClass,11,FAMIXAnnotationType,1,FAMIXMethod,18248,FAMIXClass,2568,FAMIXComment,15284,FAMIXAttribute,5495
MooseEntity>>state,MooseDefaultState,278372
FAMIXInvocation>>receiver:>>arg>>aNamedEntity,FAMIXAttribute,7251,FAMIXEnumValue,5,FAMIXLocalVariable,11575,FAMIXParameterizableClass,24,FAMIXClass,12456,FAMIXEnum,13,FAMIXParameter,5451,FAMIXImplicitVariable,19612
FAMIXType>>queryLocal:with:>>arg>>anInOutSymbol,ByteSymbol,68533
FAMIXBehaviouralEntity>>privateQuery:with:>>temp>>aTmpColl,Set,177437
FAMIXReference>>source,FAMIXMethod,7989,UndefinedObject,7989
FAMIXNamedEntity>>queryLocal:with:>>temp>>direction,ByteString,318625
FAMIXComment>>content:>>arg>>aString,ByteString,15274,WideString,10
FAMIXAssociation>>next,FAMIXInvocation,72940,FAMIXAccess,21963,FAMIXInheritance,1235
FAMIXComment>>contentString,ByteString,15274,WideString,10
FAMIXAnnotationTypeAttribute>>declaredType,UndefinedObject,1
FAMIXAccess>>printOn:>>arg>>aStream,LimitedWriteStream,189
FAMIXReference>>mooseNameOn:>>arg>>aStream,WriteStream,18
FAMIXStructuralEntity>>incomingAccesses,FMNullMultivalueLink,38881
MooseEntity>>mooseName>>1>>temp>>stream,WriteStream,147599
FAMIXInheritance>>subclass:>>arg>>aType,FAMIXClass,4022,FAMIXEnum,10,FAMIXParameterizableClass,112
MooseEntity>>gtInspectorPresentationsIn:inContext:>>arg>>aGTInspector,GTInspector,1
FAMIXInvocation>>candidates:>>arg>>aCollection,OrderedCollection,87250
FAMIXBehaviouralEntity>>localVariables,FMNullMultivalueLink,25409
FAMIXNamedEntity>>queryLocal:with:>>1>>temp>>tmp,FMNullMultivalueLink,69580,FMMultivalueLink,9288
FAMIXType>>container,UndefinedObject,9110,FAMIXNamespace,3109,FAMIXParameterizableClass,45,FAMIXMethod,5153,FAMIXClass,789,FAMIXEnum,1
FAMIXInvocation>>candidates,FMMultiMultivalueLink,87250
FAMIXType>>allSuperclassesDo:>>arg>>aBlock,BlockClosure,33880
FAMIXMethod>>kind:>>temp>>kindSymbol,ByteSymbol,3070
FAMIXNamedEntity>>annotationInstances,FMNullMultivalueLink,73593
FAMIXAccess>>variable,FAMIXEnumValue,87,UndefinedObject,30192,FAMIXLocalVariable,53,FAMIXParameter,195,FAMIXAttribute,29857
FAMIXNamedEntity>>queryLocal:with:>>arg>>anInOutSymbol,ByteSymbol,318625
MooseEntity>>mooseNameOn:>>arg>>aStream,WriteStream,254,LimitedWriteStream,2
FAMIXNamedEntity>>queryLocal:with:>>temp>>m1,ByteString,318625
MooseEntity>>mooseFinderPropertiesIn:>>1>>arg>>anObject,MooseModel,42,FAMIXClassGroup,141,FAMIXMethodGroup,129,MooseGroup,6
FAMIXSourceAnchor>>element,FAMIXEnum,9,FAMIXLocalVariable,12201,FAMIXParameterizableClass,11,FAMIXAnnotationType,1,FAMIXMethod,18248,FAMIXClass,2568,FAMIXComment,15284,FAMIXAttribute,5495
FAMIXScopingEntity>>globalVariables,FMNullMultivalueLink,193
FAMIXBehaviouralEntity>>signature,ByteString,25409,UndefinedObject,25409
